                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.54771,                0.40261,                0.94132,                0.94567,                0.92241,                   0.97,                 0.8812,                0.44531,                0.28558,                0.83297,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                 0.5244,                0.37903,                0.91744,                0.93615,                0.92897,                0.97095,                0.88476,                0.43864,                0.28136,                0.83254,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.51444,                0.38402,                0.92613,                0.94828,                0.93052,                0.97319,                0.88572,                0.43757,                0.27844,                0.83438,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.52965,                0.38829,                0.94132,                0.94641,                0.93178,                0.96993,                0.88266,                0.43916,                0.28261,                0.83408,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                 0.5551,                0.40005,                0.92592,                0.93931,                0.93669,                0.96862,                0.88397,                0.43466,                0.27853,                0.83133,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                 0.5122,                 0.3581,                0.91253,                0.94032,                0.93515,                0.96759,                0.88452,                0.42951,                0.27364,                0.82912,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.49829,                0.35378,                0.92046,                0.93923,                0.94484,                0.97374,                 0.8852,                0.42736,                0.27116,                0.82803,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.50147,                0.37893,                0.93681,                0.93585,                0.94155,                0.97321,                0.88335,                 0.4236,                0.26818,                0.82738,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.49917,                0.38501,                 0.9306,                0.94414,                0.94006,                0.97373,                0.88251,                0.42245,                0.26977,                 0.8268,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.52043,                0.38561,                0.93132,                0.94861,                0.93638,                0.97184,                0.88418,                0.41706,                0.27027,                 0.8253,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.51692,                0.37354,                0.93248,                0.94843,                 0.9414,                0.97346,                0.88839,                0.41522,                0.26795,                0.82447,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.50922,                0.36237,                0.92936,                0.92616,                0.95364,                0.97318,                0.88516,                0.41418,                0.26493,                0.82303,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.49984,                0.37221,                0.90838,                0.91071,                0.96097,                0.97226,                0.88483,                0.40715,                0.25741,                0.82159,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.48927,                0.34998,                0.90045,                0.93375,                 0.9525,                0.97155,                0.89006,                0.40005,                0.25469,                0.81821,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.53067,                0.36451,                0.91482,                0.94946,                0.93996,                0.97034,                0.89025,                0.39588,                0.25191,                0.81628,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.49586,                0.34739,                0.92374,                0.94458,                0.94088,                0.96997,                0.89125,                0.39079,                0.25153,                0.81435,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.47004,                0.35063,                0.89601,                 0.9483,                0.93966,                0.97234,                0.89122,                0.39043,                0.24725,                 0.8127,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.47092,                0.34462,                0.90888,                0.95092,                0.94564,                0.97123,                0.89169,                0.39282,                0.24583,                0.81104,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.48824,                0.35142,                0.90633,                0.95297,                0.94392,                0.97223,                0.89178,                0.38724,                0.24437,                0.80901,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.47881,                   0.34,                0.90883,                0.95124,                 0.9427,                0.97371,                0.89673,                0.38018,                0.24505,                0.80675,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                 0.4531,                 0.3332,                0.89589,                0.95501,                 0.9369,                 0.9685,                0.89163,                0.37585,                0.23901,                 0.8054,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.44452,                0.32705,                 0.8954,                0.95653,                0.93457,                0.97146,                0.89527,                0.37488,                0.23928,                0.80449,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.49329,                0.35603,                0.92827,                0.95871,                0.93481,                0.97231,                0.89503,                0.36941,                0.23855,                0.80397,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.44706,                0.31185,                0.89407,                0.96074,                0.93962,                0.97526,                0.90165,                0.36355,                0.23518,                0.80505,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                0.46315,                0.33504,                0.90882,                0.96011,                0.93794,                0.97465,                0.90214,                0.36234,                0.23196,                0.80642,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                0.43258,                0.30555,                0.88241,                0.95519,                0.94648,                0.97561,                0.90119,                0.36221,                0.23101,                0.80737,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.45621,                0.32286,                0.90112,                0.95085,                0.95289,                0.97758,                0.90288,                0.36012,                0.23041,                0.80652,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.44731,                0.32194,                0.89616,                0.95014,                0.95448,                0.97594,                0.90316,                0.35613,                0.22922,                  0.806,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.42822,                0.30974,                0.89793,                0.95366,                0.94935,                0.97582,                0.90508,                0.34932,                0.22724,                0.80416,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.43925,                0.31544,                 0.9043,                0.94925,                 0.9521,                0.97781,                0.90835,                0.34535,                  0.222,                0.80357,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.44821,                 0.3235,                0.89853,                0.95276,                0.95131,                 0.9786,                0.90745,                0.34358,                0.22049,                0.80337,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.46845,                0.34013,                0.92089,                0.95834,                0.94748,                0.97892,                0.90792,                0.34327,                0.21932,                0.80366,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.45938,                0.32866,                0.90558,                0.95966,                0.94651,                 0.9788,                0.90909,                0.34044,                0.21824,                0.80349,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                 0.4358,                0.31865,                0.90183,                0.95482,                0.95056,                0.97886,                 0.9097,                 0.3339,                0.21615,                0.80172,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.42268,                0.30858,                0.90144,                0.95785,                 0.9463,                0.97669,                0.90933,                0.33144,                0.21294,                0.80091,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.44184,                0.31308,                0.89954,                0.96058,                 0.9438,                0.97673,                 0.9125,                0.32998,                0.21269,                0.80021,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.41838,                0.30904,                0.88643,                0.96125,                0.94247,                0.97627,                0.91388,                0.32815,                0.21178,                0.79979,             2.4752e-05,             2.4752e-05,             2.4752e-05
